query,group,time,value
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-10T00:00:00.000Z,4728.693359375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-11T00:00:00.000Z,3794.471435546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-12T00:00:00.000Z,3806.0166015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-13T00:00:00.000Z,4944.17041015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-14T00:00:00.000Z,4999.5146484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-15T00:00:00.000Z,4817.48828125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-16T00:00:00.000Z,4897.33349609375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-17T00:00:00.000Z,4700.97900390625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-18T00:00:00.000Z,3726.231689453125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-19T00:00:00.000Z,3679.967529296875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-20T00:00:00.000Z,4567.03857421875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-21T00:00:00.000Z,4871.9892578125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-22T00:00:00.000Z,4849.4384765625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-23T00:00:00.000Z,4888.75732421875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-24T00:00:00.000Z,4689.4091796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-02-25T00:00:00.000Z,3768.735107421875
